序号,参试材料编号,干旱处理时期,鉴定时间,抗旱指数,抗旱指数评价的抗旱性,平均隶属函数值/灰色关联系数,隶属函数值/关联系数评价的抗旱性,抗旱性综合评价,抗旱系数,产量干旱,产量对照,株高干旱cm,株高对照cm,分枝数干旱,分枝数对照,主花序长干旱cm,主花序长对照cm,主花序有效角果数干旱,主花序有效角果数对照,全株有效角果数干旱,全株有效角果数对照,主茎角果密度个/cm干旱,主茎角果密度个/cm对照,角粒数干旱,角粒数对照,千粒重干旱g,千粒重对照g,主根长处理cm,主根长对照cm,侧根数处理,侧根数对照,植株总鲜重处理g,植株总鲜重对照g,根鲜重处理g,根鲜重对照g,地上部分鲜重处理g,地上部分鲜重对照g,根冠比处理,根冠比对照,备注
150,2011H12,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.04 ,HS,0.54 ,HR,HS,0.33 ,2.00 ,6.00 ,160.00 ,190.00 ,7.00 ,6.00 ,,,,,,,,,,,,,22.00 ,15.00 ,6.00 ,15.00 ,280.00 ,340.00 ,33.00 ,33.00 ,247.00 ,307.00 ,0.13 ,0.11 ,产量为单株产量g，隶属函数法鉴定
151,2011H13,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.00 ,HS,0.44 ,R,HS,0.00 ,0.00 ,4.00 ,139.00 ,190.00 ,8.00 ,6.00 ,,,,,,,,,,,,,16.00 ,16.00 ,7.00 ,16.00 ,172.00 ,236.00 ,19.00 ,24.00 ,154.00 ,212.00 ,0.12 ,0.11 ,产量为单株产量g，隶属函数法鉴定
152,2011H14,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.48 ,MR,0.46 ,R,MR,0.50 ,9.00 ,18.00 ,135.00 ,155.00 ,7.00 ,6.00 ,,,,,,,,,,,,,20.00 ,16.00 ,9.00 ,9.00 ,194.00 ,207.00 ,23.00 ,21.00 ,171.00 ,186.00 ,0.14 ,0.11 ,产量为单株产量g，隶属函数法鉴定
153,2011H15,抗旱棚内全生育期轻度干旱,2011.9-2013.4,2.29 ,HR,0.42 ,R,HR,1.50 ,15.00 ,10.00 ,140.00 ,150.00 ,9.00 ,6.00 ,,,,,,,,,,,,,16.00 ,15.00 ,9.00 ,6.00 ,243.00 ,176.00 ,29.00 ,20.00 ,214.00 ,157.00 ,0.14 ,0.12 ,产量为单株产量g，隶属函数法鉴定
154,2011H16,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.58 ,MR,0.43 ,R,MR,0.78 ,7.00 ,9.00 ,140.00 ,149.00 ,6.00 ,6.00 ,,,,,,,,,,,,,13.00 ,14.00 ,9.00 ,9.00 ,207.00 ,165.00 ,21.00 ,14.00 ,186.00 ,151.00 ,0.11 ,0.09 ,产量为单株产量g，隶属函数法鉴定
155,2011H17,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.36 ,S,0.47 ,R,S,0.47 ,8.00 ,17.00 ,164.00 ,175.00 ,9.00 ,5.00 ,,,,,,,,,,,,,12.00 ,19.00 ,8.00 ,10.00 ,294.00 ,276.00 ,28.00 ,26.00 ,266.00 ,251.00 ,0.11 ,0.10 ,产量为单株产量g，隶属函数法鉴定
156,2011H18,抗旱棚内全生育期轻度干旱,2011.9-2013.4,1.59 ,HR,0.54 ,HR,HR,0.94 ,17.00 ,18.00 ,155.00 ,170.00 ,8.00 ,6.00 ,,,,,,,,,,,,,20.00 ,19.00 ,7.00 ,10.00 ,264.00 ,252.00 ,27.00 ,26.00 ,237.00 ,226.00 ,0.11 ,0.11 ,产量为单株产量g，隶属函数法鉴定
157,2011H19,抗旱棚内全生育期轻度干旱,2011.9-2013.4,2.98 ,HR,0.61 ,HR,HR,1.64 ,18.00 ,11.00 ,163.00 ,165.00 ,7.00 ,6.00 ,,,,,,,,,,,,,15.00 ,16.00 ,12.00 ,10.00 ,550.00 ,283.00 ,40.00 ,23.00 ,510.00 ,260.00 ,0.08 ,0.09 ,产量为单株产量g，隶属函数法鉴定
158,2011H20,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.10 ,HS,0.38 ,MR,HS,0.29 ,4.00 ,14.00 ,168.00 ,175.00 ,7.00 ,8.00 ,,,,,,,,,,,,,20.00 ,18.00 ,6.00 ,9.00 ,226.00 ,295.00 ,26.00 ,33.00 ,200.00 ,263.00 ,0.13 ,0.12 ,产量为单株产量g，隶属函数法鉴定
159,2011H21,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.02 ,HS,0.39 ,MR,HS,0.17 ,1.00 ,6.00 ,180.00 ,173.00 ,7.00 ,7.00 ,,,,,,,,,,,,,19.00 ,21.00 ,3.00 ,14.00 ,187.00 ,269.00 ,20.00 ,31.00 ,167.00 ,238.00 ,0.12 ,0.13 ,产量为单株产量g，隶属函数法鉴定
160,2011H22,抗旱棚内全生育期轻度干旱,2011.9-2013.4,3.04 ,HR,0.51 ,HR,HR,1.54 ,20.00 ,13.00 ,192.00 ,165.00 ,6.00 ,6.00 ,,,,,,,,,,,,,20.00 ,15.00 ,4.00 ,8.00 ,380.00 ,207.00 ,36.00 ,19.00 ,344.00 ,188.00 ,0.10 ,0.10 ,产量为单株产量g，隶属函数法鉴定
161,2011H23,抗旱棚内全生育期轻度干旱,2011.9-2013.4,4.06 ,HR,0.44 ,R,HR,2.80 ,14.00 ,5.00 ,153.00 ,170.00 ,7.00 ,6.00 ,,,,,,,,,,,,,16.00 ,15.00 ,10.00 ,13.00 ,292.00 ,206.00 ,29.00 ,15.00 ,264.00 ,191.00 ,0.11 ,0.08 ,产量为单株产量g，隶属函数法鉴定
162,2011H24,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.93 ,R,0.45 ,R,R,0.91 ,10.00 ,11.00 ,140.00 ,190.00 ,8.00 ,7.00 ,,,,,,,,,,,,,18.00 ,17.00 ,7.00 ,6.00 ,236.00 ,360.00 ,20.00 ,23.00 ,216.00 ,337.00 ,0.09 ,0.07 ,产量为单株产量g，隶属函数法鉴定
163,2011H25,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.05 ,HS,0.41 ,R,HS,0.22 ,2.00 ,9.00 ,159.00 ,175.00 ,8.00 ,6.00 ,,,,,,,,,,,,,18.00 ,12.00 ,8.00 ,4.00 ,251.00 ,207.00 ,26.00 ,16.00 ,225.00 ,191.00 ,0.11 ,0.09 ,产量为单株产量g，隶属函数法鉴定
164,2011H26,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.56 ,MR,0.35 ,MR,MR,0.44 ,12.00 ,27.00 ,132.00 ,160.00 ,5.00 ,7.00 ,,,,,,,,,,,,,17.00 ,28.00 ,10.00 ,3.00 ,222.00 ,370.00 ,23.00 ,41.00 ,199.00 ,329.00 ,0.12 ,0.13 ,产量为单株产量g，隶属函数法鉴定
165,2011H27,抗旱棚内全生育期轻度干旱,2011.9-2013.4,2.79 ,HR,0.38 ,MR,R,2.75 ,11.00 ,4.00 ,150.00 ,180.00 ,5.00 ,6.00 ,,,,,,,,,,,,,23.00 ,13.00 ,8.00 ,3.00 ,230.00 ,311.00 ,25.00 ,22.00 ,205.00 ,289.00 ,0.12 ,0.08 ,产量为单株产量g，隶属函数法鉴定
166,2011H28,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.05 ,HS,0.19 ,HS,HS,0.25 ,2.00 ,8.00 ,135.00 ,150.00 ,5.00 ,5.00 ,,,,,,,,,,,,,17.00 ,17.00 ,3.00 ,6.00 ,226.00 ,213.00 ,20.00 ,23.00 ,206.00 ,190.00 ,0.10 ,0.12 ,产量为单株产量g，隶属函数法鉴定
167,2011H29,抗旱棚内全生育期轻度干旱,2011.9-2013.4,2.89 ,HR,0.56 ,HR,HR,1.78 ,16.00 ,9.00 ,150.00 ,170.00 ,9.00 ,7.00 ,,,,,,,,,,,,,19.00 ,13.00 ,7.00 ,7.00 ,511.00 ,290.00 ,57.00 ,30.00 ,454.00 ,260.00 ,0.12 ,0.11 ,产量为单株产量g，隶属函数法鉴定
168,2011H30,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.07 ,HS,0.26 ,HS,HS,0.23 ,3.00 ,13.00 ,123.00 ,175.00 ,6.00 ,7.00 ,,,,,,,,,,,,,19.00 ,17.00 ,8.00 ,10.00 ,205.00 ,316.00 ,30.00 ,37.00 ,175.00 ,279.00 ,0.17 ,0.13 ,产量为单株产量g，隶属函数法鉴定
169,2011H31,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.14 ,S,0.06 ,HS,S,0.31 ,5.00 ,16.00 ,134.00 ,162.00 ,5.00 ,7.00 ,,,,,,,,,,,,,,16.00 ,,6.00 ,230.00 ,146.00 ,24.00 ,39.00 ,206.00 ,107.00 ,0.11 ,0.36 ,产量为单株产量g，隶属函数法鉴定
170,2011H32,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.00 ,HS,0.28 ,S,HS,0.00 ,0.00 ,5.00 ,138.00 ,155.00 ,5.00 ,7.00 ,,,,,,,,,,,,,16.00 ,16.00 ,6.00 ,14.00 ,333.00 ,217.00 ,27.00 ,22.00 ,306.00 ,195.00 ,0.09 ,0.11 ,产量为单株产量g，隶属函数法鉴定
171,2011H33,抗旱棚内全生育期轻度干旱,2011.9-2013.4,2.55 ,HR,0.30 ,S,MR,1.38 ,18.00 ,13.00 ,137.00 ,160.00 ,5.00 ,5.00 ,,,,,,,,,,,,,17.00 ,17.00 ,2.00 ,5.00 ,209.00 ,319.00 ,20.00 ,24.00 ,189.00 ,295.00 ,0.11 ,0.08 ,产量为单株产量g，隶属函数法鉴定
172,2011H34,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.56 ,MR,0.39 ,MR,MR,0.60 ,9.00 ,15.00 ,155.00 ,180.00 ,6.00 ,8.00 ,,,,,,,,,,,,,19.00 ,21.00 ,8.00 ,11.00 ,280.00 ,350.00 ,31.00 ,42.00 ,249.00 ,308.00 ,0.12 ,0.14 ,产量为单株产量g，隶属函数法鉴定
173,2011H35,抗旱棚内全生育期轻度干旱,2011.9-2013.4,1.76 ,HR,0.45 ,R,HR,1.30 ,13.00 ,10.00 ,128.00 ,170.00 ,6.00 ,7.00 ,,,,,,,,,,,,,17.00 ,18.00 ,8.00 ,14.00 ,231.00 ,249.00 ,22.00 ,21.00 ,209.00 ,228.00 ,0.11 ,0.09 ,产量为单株产量g，隶属函数法鉴定
174,2011H36,抗旱棚内全生育期轻度干旱,2011.9-2013.4,2.91 ,HR,0.28 ,S,MR,2.00 ,14.00 ,7.00 ,134.00 ,163.00 ,7.00 ,5.00 ,,,,,,,,,,,,,15.00 ,15.00 ,3.00 ,9.00 ,255.00 ,237.00 ,25.00 ,27.00 ,230.00 ,211.00 ,0.11 ,0.13 ,产量为单株产量g，隶属函数法鉴定
175,2011H37,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.16 ,S,0.46 ,R,MR,0.29 ,6.00 ,21.00 ,115.00 ,185.00 ,7.00 ,7.00 ,,,,,,,,,,,,,20.00 ,20.00 ,8.00 ,14.00 ,195.00 ,617.00 ,23.00 ,58.00 ,172.00 ,559.00 ,0.14 ,0.10 ,产量为单株产量g，隶属函数法鉴定
176,2011H38,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.08 ,HS,0.31 ,S,HS,0.33 ,2.00 ,6.00 ,140.00 ,168.00 ,7.00 ,6.00 ,,,,,,,,,,,,,16.00 ,16.00 ,2.00 ,4.00 ,279.00 ,275.00 ,29.00 ,30.00 ,250.00 ,245.00 ,0.12 ,0.12 ,产量为单株产量g，隶属函数法鉴定
177,2011H39,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.05 ,HS,0.33 ,MR,HS,0.16 ,3.00 ,19.00 ,135.00 ,150.00 ,7.00 ,6.00 ,,,,,,,,,,,,,15.00 ,14.00 ,5.00 ,11.00 ,219.00 ,338.00 ,23.00 ,30.00 ,196.00 ,308.00 ,0.12 ,0.10 ,产量为单株产量g，隶属函数法鉴定
178,2011H40,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.71 ,R,0.37 ,MR,R,1.20 ,6.00 ,5.00 ,125.00 ,153.00 ,7.00 ,7.00 ,,,,,,,,,,,,,19.00 ,18.00 ,5.00 ,9.00 ,333.00 ,277.00 ,32.00 ,35.00 ,301.00 ,242.00 ,0.11 ,0.15 ,产量为单株产量g，隶属函数法鉴定
179,2011H41,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.49 ,MR,0.32 ,S,MR,1.33 ,4.00 ,3.00 ,112.00 ,138.00 ,4.00 ,3.00 ,,,,,,,,,,,,,17.00 ,17.00 ,8.00 ,10.00 ,273.00 ,250.00 ,28.00 ,20.00 ,245.00 ,230.00 ,0.12 ,0.09 ,产量为单株产量g，隶属函数法鉴定
180,2011H42,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.28 ,S,0.33 ,MR,S,0.29 ,10.00 ,34.00 ,142.00 ,160.00 ,6.00 ,7.00 ,,,,,,,,,,,,,19.00 ,18.00 ,4.00 ,11.00 ,217.00 ,394.00 ,28.00 ,55.00 ,189.00 ,339.00 ,0.15 ,0.16 ,产量为单株产量g，隶属函数法鉴定
181,2011H43,抗旱棚内全生育期轻度干旱,2011.9-2013.4,2.63 ,HR,0.61 ,HR,HR,1.16 ,22.00 ,19.00 ,137.00 ,158.00 ,10.00 ,9.00 ,,,,,,,,,,,,,16.00 ,18.00 ,7.00 ,8.00 ,367.00 ,302.00 ,31.00 ,24.00 ,336.00 ,278.00 ,0.09 ,0.09 ,产量为单株产量g，隶属函数法鉴定
182,2011H44,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.37 ,S,0.33 ,MR,S,0.83 ,5.00 ,6.00 ,134.00 ,170.00 ,6.00 ,6.00 ,,,,,,,,,,,,,10.00 ,17.00 ,1.00 ,3.00 ,171.00 ,152.00 ,16.00 ,12.00 ,155.00 ,140.00 ,0.10 ,0.08 ,产量为单株产量g，隶属函数法鉴定
183,2011H45,抗旱棚内全生育期轻度干旱,2011.9-2013.4,1.27 ,R,0.37 ,MR,R,0.69 ,18.00 ,26.00 ,134.00 ,170.00 ,6.00 ,8.00 ,,,,,,,,,,,,,20.00 ,20.00 ,8.00 ,7.00 ,221.00 ,327.00 ,24.00 ,35.00 ,197.00 ,292.00 ,0.12 ,0.12 ,产量为单株产量g，隶属函数法鉴定
184,2011H46,抗旱棚内全生育期轻度干旱,2011.9-2013.4,3.92 ,HR,0.36 ,MR,R,2.43 ,17.00 ,7.00 ,140.00 ,169.00 ,6.00 ,6.00 ,,,,,,,,,,,,,21.00 ,18.00 ,2.00 ,7.00 ,242.00 ,221.00 ,25.00 ,29.00 ,217.00 ,192.00 ,0.11 ,0.15 ,产量为单株产量g，隶属函数法鉴定
185,2011H47,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.54 ,MR,0.33 ,MR,MR,0.78 ,7.00 ,9.00 ,139.00 ,140.00 ,5.00 ,5.00 ,,,,,,,,,,,,,20.00 ,17.00 ,5.00 ,6.00 ,247.00 ,211.00 ,25.00 ,20.00 ,222.00 ,191.00 ,0.11 ,0.11 ,产量为单株产量g，隶属函数法鉴定
186,2011H48,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.63 ,MR,0.37 ,MR,MR,0.52 ,13.00 ,25.00 ,128.00 ,155.00 ,6.00 ,7.00 ,,,,,,,,,,,,,18.00 ,15.00 ,4.00 ,7.00 ,220.00 ,312.00 ,26.00 ,29.00 ,193.00 ,283.00 ,0.14 ,0.10 ,产量为单株产量g，隶属函数法鉴定
187,2011H49,抗旱棚内全生育期轻度干旱,2011.9-2013.4,2.81 ,HR,0.16 ,HS,MR,2.17 ,13.00 ,6.00 ,169.00 ,150.00 ,5.00 ,5.00 ,,,,,,,,,,,,,,16.00 ,3.00 ,5.00 ,252.00 ,122.00 ,25.00 ,13.00 ,227.00 ,109.00 ,0.11 ,0.12 ,产量为单株产量g，隶属函数法鉴定
188,2011H50,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.02 ,HS,0.28 ,S,HS,0.14 ,1.00 ,7.00 ,121.00 ,154.00 ,6.00 ,8.00 ,,,,,,,,,,,,,12.00 ,16.00 ,4.00 ,12.00 ,124.00 ,324.00 ,16.00 ,47.00 ,108.00 ,277.00 ,0.15 ,0.17 ,产量为单株产量g，隶属函数法鉴定
189,2011H51,抗旱棚内全生育期轻度干旱,2011.9-2013.4,1.26 ,R,0.32 ,S,MR,1.75 ,7.00 ,4.00 ,107.00 ,125.00 ,8.00 ,5.00 ,,,,,,,,,,,,,17.00 ,18.00 ,5.00 ,5.00 ,137.00 ,127.00 ,16.00 ,16.00 ,121.00 ,111.00 ,0.14 ,0.14 ,产量为单株产量g，隶属函数法鉴定
190,2011H52,抗旱棚内全生育期轻度干旱,2011.9-2013.4,3.80 ,HR,0.20 ,HS,MR,2.50 ,15.00 ,6.00 ,123.00 ,145.00 ,6.00 ,6.00 ,,,,,,,,,,,,,6.00 ,15.00 ,3.00 ,8.00 ,178.00 ,182.00 ,15.00 ,19.00 ,163.00 ,163.00 ,0.09 ,0.12 ,产量为单株产量g，隶属函数法鉴定
191,2011H53,抗旱棚内全生育期轻度干旱,2011.9-2013.4,11.12 ,HR,0.37 ,MR,R,4.80 ,24.00 ,5.00 ,131.00 ,150.00 ,5.00 ,5.00 ,,,,,,,,,,,,,14.00 ,11.00 ,4.00 ,7.00 ,313.00 ,162.00 ,26.00 ,14.00 ,287.00 ,148.00 ,0.09 ,0.09 ,产量为单株产量g，隶属函数法鉴定
192,2011H54,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.15 ,S,0.30 ,S,S,0.50 ,3.00 ,6.00 ,145.00 ,177.00 ,6.00 ,5.00 ,,,,,,,,,,,,,9.00 ,16.00 ,4.00 ,8.00 ,131.00 ,206.00 ,15.00 ,19.00 ,116.00 ,187.00 ,0.13 ,0.10 ,产量为单株产量g，隶属函数法鉴定
193,2011H55,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.52 ,MR,0.27 ,HS,S,1.00 ,4.00 ,4.00 ,123.00 ,168.00 ,6.00 ,7.00 ,,,,,,,,,,,,,17.00 ,15.00 ,4.00 ,12.00 ,164.00 ,234.00 ,26.00 ,21.00 ,139.00 ,213.00 ,0.18 ,0.10 ,产量为单株产量g，隶属函数法鉴定
194,2011H56,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.12 ,S,0.13 ,HS,S,0.31 ,4.00 ,13.00 ,105.00 ,160.00 ,4.00 ,6.00 ,,,,,,,,,,,,,12.00 ,14.00 ,6.00 ,7.00 ,116.00 ,299.00 ,15.00 ,36.00 ,101.00 ,263.00 ,0.15 ,0.14 ,产量为单株产量g，隶属函数法鉴定
195,2011H57,抗旱棚内全生育期轻度干旱,2011.9-2013.4,2.91 ,HR,0.28 ,S,MR,1.88 ,15.00 ,8.00 ,104.00 ,130.00 ,4.00 ,4.00 ,,,,,,,,,,,,,17.00 ,16.00 ,9.00 ,0.00 ,146.00 ,133.00 ,16.00 ,13.00 ,130.00 ,120.00 ,0.12 ,0.11 ,产量为单株产量g，隶属函数法鉴定
196,2011H58,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.56 ,MR,0.34 ,MR,MR,1.00 ,5.00 ,5.00 ,116.00 ,140.00 ,7.00 ,6.00 ,,,,,,,,,,,,,16.00 ,10.00 ,4.00 ,7.00 ,211.00 ,172.00 ,30.00 ,11.00 ,181.00 ,161.00 ,0.17 ,0.07 ,产量为单株产量g，隶属函数法鉴定
197,2011H59,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.01 ,HS,0.26 ,HS,HS,0.08 ,1.00 ,12.00 ,110.00 ,145.00 ,5.00 ,6.00 ,,,,,,,,,,,,,16.00 ,14.00 ,5.00 ,12.00 ,126.00 ,198.00 ,18.00 ,23.00 ,108.00 ,175.00 ,0.16 ,0.13 ,产量为单株产量g，隶属函数法鉴定
198,2011H60,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.73 ,R,0.22 ,HS,S,1.00 ,8.00 ,8.00 ,128.00 ,140.00 ,7.00 ,6.00 ,,,,,,,,,,,,,14.00 ,15.00 ,6.00 ,7.00 ,225.00 ,211.00 ,21.00 ,29.00 ,204.00 ,182.00 ,0.10 ,0.16 ,产量为单株产量g，隶属函数法鉴定
199,2011H61,抗旱棚内全生育期轻度干旱,2011.9-2013.4,1.13 ,R,0.38 ,MR,R,1.10 ,11.00 ,10.00 ,136.00 ,150.00 ,7.00 ,7.00 ,,,,,,,,,,,,,16.00 ,16.00 ,5.00 ,10.00 ,346.00 ,250.00 ,45.00 ,33.00 ,301.00 ,217.00 ,0.15 ,0.15 ,产量为单株产量g，隶属函数法鉴定
200,2011H62,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.04 ,HS,0.24 ,HS,HS,0.25 ,2.00 ,8.00 ,119.00 ,145.00 ,4.00 ,7.00 ,,,,,,,,,,,,,14.00 ,14.00 ,7.00 ,12.00 ,156.00 ,225.00 ,16.00 ,24.00 ,139.00 ,201.00 ,0.12 ,0.12 ,产量为单株产量g，隶属函数法鉴定
201,2011H63,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.07 ,HS,0.35 ,MR,S,0.25 ,2.00 ,8.00 ,110.00 ,165.00 ,6.00 ,7.00 ,,,,,,,,,,,,,16.00 ,14.00 ,3.00 ,8.00 ,91.00 ,226.00 ,13.00 ,26.00 ,78.00 ,200.00 ,0.16 ,0.13 ,产量为单株产量g，隶属函数法鉴定
202,2011H64,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.65 ,MR,0.44 ,R,MR,1.00 ,7.00 ,7.00 ,136.00 ,145.00 ,9.00 ,7.00 ,,,,,,,,,,,,,16.00 ,16.00 ,8.00 ,6.00 ,241.00 ,172.00 ,29.00 ,13.00 ,213.00 ,159.00 ,0.13 ,0.08 ,产量为单株产量g，隶属函数法鉴定
203,2011H65,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.19 ,S,0.10 ,HS,S,0.35 ,6.00 ,17.00 ,57.00 ,130.00 ,4.00 ,8.00 ,,,,,,,,,,,,,,21.00 ,,9.00 ,184.00 ,203.00 ,27.00 ,27.00 ,157.00 ,176.00 ,0.17 ,0.15 ,产量为单株产量g，隶属函数法鉴定
204,2011H66,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.01 ,HS,0.32 ,S,HS,0.08 ,1.00 ,12.00 ,107.00 ,158.00 ,9.00 ,6.00 ,,,,,,,,,,,,,14.00 ,17.00 ,4.00 ,8.00 ,173.00 ,326.00 ,32.00 ,38.00 ,141.00 ,289.00 ,0.23 ,0.13 ,产量为单株产量g，隶属函数法鉴定
205,2011H67,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.27 ,S,0.27 ,HS,S,0.50 ,5.00 ,10.00 ,104.00 ,133.00 ,6.00 ,5.00 ,,,,,,,,,,,,,15.00 ,15.00 ,8.00 ,10.00 ,157.00 ,163.00 ,25.00 ,23.00 ,132.00 ,141.00 ,0.19 ,0.16 ,产量为单株产量g，隶属函数法鉴定
206,2011H68,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.40 ,MR,0.35 ,MR,MR,0.29 ,14.00 ,49.00 ,111.00 ,139.00 ,6.00 ,9.00 ,,,,,,,,,,,,,17.00 ,15.00 ,8.00 ,17.00 ,184.00 ,190.00 ,25.00 ,26.00 ,159.00 ,165.00 ,0.16 ,0.16 ,产量为单株产量g，隶属函数法鉴定
207,2011H69,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.12 ,S,0.23 ,HS,S,0.33 ,4.00 ,12.00 ,96.00 ,125.00 ,6.00 ,7.00 ,,,,,,,,,,,,,17.00 ,18.00 ,5.00 ,16.00 ,140.00 ,260.00 ,22.00 ,43.00 ,119.00 ,217.00 ,0.18 ,0.20 ,产量为单株产量g，隶属函数法鉴定
208,2011H70,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.61 ,MR,0.32 ,S,MR,0.73 ,8.00 ,11.00 ,91.00 ,117.00 ,8.00 ,5.00 ,,,,,,,,,,,,,16.00 ,13.00 ,9.00 ,6.00 ,231.00 ,133.00 ,28.00 ,14.00 ,203.00 ,119.00 ,0.14 ,0.12 ,产量为单株产量g，隶属函数法鉴定
209,2011H71,抗旱棚内全生育期轻度干旱,2011.9-2013.4,0.36 ,S,0.20 ,HS,S,0.63 ,5.00 ,8.00 ,106.00 ,100.00 ,5.00 ,7.00 ,,,,,,,,,,,,,11.00 ,13.00 ,8.00 ,12.00 ,209.00 ,176.00 ,26.00 ,27.00 ,183.00 ,149.00 ,0.14 ,0.18 ,产量为单株产量g，隶属函数法鉴定
210,094530-3,全生育期降雨量60mm 大田鉴定，全生育期不灌溉,2012.9-2013.4,0.01 ,HS,0.12 ,HS,HS,0.14 ,6.00 ,42.50 ,63.00 ,54.00 ,4.00 ,4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
211,094531-1,全生育期降雨量60mm 大田鉴定，全生育期不灌溉,2012.9-2013.4,0.02 ,HS,0.20 ,HS,HS,0.13 ,14.00 ,108.00 ,65.00 ,70.00 ,5.00 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
212,094532-1,全生育期降雨量60mm 大田鉴定，全生育期不灌溉,2012.9-2013.4,0.01 ,HS,0.08 ,HS,HS,0.10 ,10.20 ,97.40 ,60.00 ,86.00 ,3.00 ,3.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
213,094535-1,全生育期降雨量60mm 大田鉴定，全生育期不灌溉,2012.9-2013.4,0.02 ,HS,0.26 ,HS,MR,0.10 ,14.50 ,143.40 ,65.00 ,108.00 ,6.50 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
214,094536-2,全生育期降雨量60mm 大田鉴定，全生育期不灌溉,2012.9-2013.4,0.13 ,MR,0.22 ,HS,HS,0.26 ,47.10 ,181.30 ,60.00 ,119.00 ,4.08 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
215,094538-2,全生育期降雨量60mm 大田鉴定，全生育期不灌溉,2012.9-2013.4,0.01 ,HS,0.11 ,HS,HS,0.07 ,19.60 ,266.00 ,60.00 ,130.00 ,3.00 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
216,094543-1,全生育期降雨量60mm 大田鉴定，全生育期不灌溉,2012.9-2013.4,0.04 ,S,0.15 ,HS,HS,0.14 ,29.10 ,204.40 ,65.00 ,116.00 ,3.35 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
217,094546-1,全生育期降雨量60mm 大田鉴定，全生育期不灌溉,2012.9-2013.4,0.03 ,HS,0.25 ,HS,S,0.09 ,33.10 ,374.80 ,65.00 ,132.00 ,4.75 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
218,094547-2,全生育期降雨量60mm 大田鉴定，全生育期不灌溉,2012.9-2013.4,,,0.34 ,S,S,,16.40 ,,80.00 ,138.00 ,6.50 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
219,094553-1,全生育期降雨量60mm 大田鉴定，全生育期不灌溉,2012.9-2013.4,0.08 ,S,0.41 ,MR,MR,0.15 ,52.70 ,347.70 ,80.00 ,128.00 ,5.50 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
